@relation class
@attribute h4_dst_bytes real
@attribute h4_dst_flow real
@attribute h4_dst_pkt real
@attribute h4_src_bytes real
@attribute h4_src_flow real
@attribute h4_src_pkt real
@attribute h5_dst_bytes real
@attribute h5_dst_flow real
@attribute h5_dst_pkt real
@attribute h5_src_bytes real
@attribute h5_src_flow real
@attribute h5_src_pkt real
@attribute h6_dst_bytes real
@attribute h6_dst_flow real
@attribute h6_dst_pkt real
@attribute h6_src_bytes real
@attribute h6_src_flow real
@attribute h6_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_h4_rx_bytes real
@attribute port_h4_rx_crc_err real
@attribute port_h4_rx_drop real
@attribute port_h4_rx_error real
@attribute port_h4_rx_frame_err real
@attribute port_h4_rx_over_err real
@attribute port_h4_rx_pkt real
@attribute port_h4_tx_bytes real
@attribute port_h4_tx_drop real
@attribute port_h4_tx_error real
@attribute port_h4_tx_pkt real
@attribute port_h5_rx_bytes real
@attribute port_h5_rx_crc_err real
@attribute port_h5_rx_drop real
@attribute port_h5_rx_error real
@attribute port_h5_rx_frame_err real
@attribute port_h5_rx_over_err real
@attribute port_h5_rx_pkt real
@attribute port_h5_tx_bytes real
@attribute port_h5_tx_drop real
@attribute port_h5_tx_error real
@attribute port_h5_tx_pkt real
@attribute port_h6_rx_bytes real
@attribute port_h6_rx_crc_err real
@attribute port_h6_rx_drop real
@attribute port_h6_rx_error real
@attribute port_h6_rx_frame_err real
@attribute port_h6_rx_over_err real
@attribute port_h6_rx_pkt real
@attribute port_h6_tx_bytes real
@attribute port_h6_tx_drop real
@attribute port_h6_tx_error real
@attribute port_h6_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0,1}
@data
12714,2,173,6976,1,86,4746,2,63,3544,1,32,7002,2,102,6670,2,80,44193,0,0,0,0,0,526,25483,0,0,284,8160,0,0,0,0,0,101,38104,0,0,409,4867,0,0,0,0,0,49,30074,0,0,298,8662,0,0,0,0,0,107,32350,0,0,337,0,0,0,0,0,0,0,"0"
15196,0,207,8345,0,103,4725,0,63,3100,0,32,8734,0,127,8288,0,98,30990,0,0,0,0,0,425,21766,0,0,261,8345,0,0,0,0,0,103,18276,0,0,243,3170,0,0,0,0,0,33,7801,0,0,99,9678,0,0,0,0,0,119,11810,0,0,163,0,0,0,0,0,0,0,"0"
15143,0,206,8374,0,103,4725,0,63,3100,0,32,8624,0,125,8271,0,99,29320,0,0,0,0,0,406,21105,0,0,254,8444,0,0,0,0,0,104,16303,0,0,222,3100,0,0,0,0,0,32,5955,0,0,80,9261,0,0,0,0,0,114,9854,0,0,142,0,0,0,0,0,0,0,"0"
15293,0,208,8451,0,104,4725,0,63,3100,0,32,8734,0,127,8288,0,98,30737,0,0,0,0,0,421,21732,0,0,260,8451,0,0,0,0,0,104,17953,0,0,238,3170,0,0,0,0,0,33,7245,0,0,91,9608,0,0,0,0,0,118,11324,0,0,156,0,0,0,0,0,0,0,"0"
15128,0,206,8344,0,103,4725,0,63,3100,0,32,8624,0,125,8271,0,99,29721,0,0,0,0,0,412,21347,0,0,258,8414,0,0,0,0,0,104,16774,0,0,229,3100,0,0,0,0,0,32,6511,0,0,88,9463,0,0,0,0,0,117,10340,0,0,149,0,0,0,0,0,0,0,"0"
15164,0,206,8401,0,103,4725,0,63,3100,0,32,8734,0,127,8288,0,98,29583,0,0,0,0,0,410,21343,0,0,256,8401,0,0,0,0,0,103,16456,0,0,224,3100,0,0,0,0,0,32,6017,0,0,81,9542,0,0,0,0,0,117,10026,0,0,145,0,0,0,0,0,0,0,"0"
15418,0,210,8423,0,104,4725,0,63,3017,0,31,8624,0,125,8337,0,100,29719,0,0,0,0,0,412,21282,0,0,257,8423,0,0,0,0,0,104,16702,0,0,228,3100,0,0,0,0,0,32,6153,0,0,83,9459,0,0,0,0,0,117,10052,0,0,145,0,0,0,0,0,0,0,"0"
14999,0,204,8359,0,103,4725,0,63,3100,0,32,8662,0,126,8156,0,96,29494,0,0,0,0,0,409,21371,0,0,257,8359,0,0,0,0,0,103,16579,0,0,226,3170,0,0,0,0,0,33,6021,0,0,81,9542,0,0,0,0,0,117,10028,0,0,145,0,0,0,0,0,0,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8696,0,126,8403,1,101,30553,0,0,0,0,0,418,21786,0,0,262,8386,0,0,0,0,0,103,17737,0,0,235,3100,0,0,0,0,0,32,7385,0,0,93,9727,0,0,0,0,0,121,11216,0,0,154,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,8662,0,126,8072,0,95,29621,0,0,0,0,0,411,21357,0,0,257,8415,0,0,0,0,0,104,16566,0,0,226,3100,0,0,0,0,0,32,6231,0,0,84,9542,0,0,0,0,0,117,10238,0,0,148,0,0,0,0,0,0,0,"0"
