 [DEBUG] (Thread-1 ) Starting Super, TIME 2018-09-27 10:27:39.314160
 [DEBUG] (Thread-4 ) Starting Error, TIME 2018-09-27 10:27:39.959884
 [DEBUG] (Thread-4 ) Exiting Error, TIME 2018-09-27 10:27:39.960059
 [DEBUG] (Thread-5 ) Starting SYN, TIME 2018-09-27 10:27:39.960209
 [DEBUG] (Thread-5 ) Exiting SYN, TIME 2018-09-27 10:27:39.960301
 [DEBUG] (Thread-3 ) Starting DOS, TIME 2018-09-27 10:27:39.960404
 [DEBUG] (Thread-3 ) Exiting DOS, TIME 2018-09-27 10:27:39.960541
 [DEBUG] (Thread-1 ) Exiting super, TIME 2018-09-27 10:27:39.962482
 [DEBUG] (Thread-2 ) Starting Super, TIME 2018-09-27 10:28:39.316184
 [DEBUG] (Thread-8 ) Starting Error, TIME 2018-09-27 10:28:39.960821
 [DEBUG] (Thread-8 ) Exiting Error, TIME 2018-09-27 10:28:39.961196
 [DEBUG] (Thread-9 ) Starting SYN, TIME 2018-09-27 10:28:39.961515
 [DEBUG] (Thread-9 ) Exiting SYN, TIME 2018-09-27 10:28:39.961767
 [DEBUG] (Thread-7 ) Starting DOS, TIME 2018-09-27 10:28:39.961953
 [DEBUG] (Thread-7 ) Exiting DOS, TIME 2018-09-27 10:28:39.962425
 [DEBUG] (Thread-2 ) Exiting super, TIME 2018-09-27 10:28:39.966866
 [DEBUG] (Thread-6 ) Starting Super, TIME 2018-09-27 10:29:39.315174
 [DEBUG] (Thread-12) Starting Error, TIME 2018-09-27 10:29:39.851395
 [DEBUG] (Thread-12) Exiting Error, TIME 2018-09-27 10:29:39.851581
 [DEBUG] (Thread-13) Starting SYN, TIME 2018-09-27 10:29:39.851645
 [DEBUG] (Thread-13) Exiting SYN, TIME 2018-09-27 10:29:39.851845
 [DEBUG] (Thread-11) Starting DOS, TIME 2018-09-27 10:29:39.851940
 [DEBUG] (Thread-11) Exiting DOS, TIME 2018-09-27 10:29:39.852058
 [DEBUG] (Thread-6 ) Exiting super, TIME 2018-09-27 10:29:39.854005
 [DEBUG] (Thread-10) Starting Super, TIME 2018-09-27 10:30:39.316003
 [DEBUG] (Thread-16) Starting Error, TIME 2018-09-27 10:30:39.956310
 [DEBUG] (Thread-16) Exiting Error, TIME 2018-09-27 10:30:39.957545
 [DEBUG] (Thread-17) Starting SYN, TIME 2018-09-27 10:30:39.958518
 [DEBUG] (Thread-17) Exiting SYN, TIME 2018-09-27 10:30:39.959227
 [DEBUG] (Thread-15) Starting DOS, TIME 2018-09-27 10:30:39.960115
 [DEBUG] (Thread-15) Exiting DOS, TIME 2018-09-27 10:30:39.961220
 [DEBUG] (Thread-10) Exiting super, TIME 2018-09-27 10:30:39.970540
 [DEBUG] (Thread-14) Starting Super, TIME 2018-09-27 10:31:39.325654
 [DEBUG] (Thread-20) Starting Error, TIME 2018-09-27 10:31:39.763992
 [DEBUG] (Thread-21) Starting SYN, TIME 2018-09-27 10:31:39.764471
 [DEBUG] (Thread-20) Exiting Error, TIME 2018-09-27 10:31:39.765219
 [DEBUG] (Thread-19) Starting DOS, TIME 2018-09-27 10:31:39.765601
 [DEBUG] (Thread-21) Exiting SYN, TIME 2018-09-27 10:31:39.766209
 [DEBUG] (Thread-19) Exiting DOS, TIME 2018-09-27 10:31:39.767302
 [DEBUG] (Thread-14) Exiting super, TIME 2018-09-27 10:31:39.781992
 [DEBUG] (Thread-18) Starting Super, TIME 2018-09-27 10:32:39.325846
 [DEBUG] (Thread-24) Starting Error, TIME 2018-09-27 10:32:39.959365
 [DEBUG] (Thread-24) Exiting Error, TIME 2018-09-27 10:32:39.961780
 [DEBUG] (Thread-25) Starting SYN, TIME 2018-09-27 10:32:39.960339
 [DEBUG] (Thread-23) Starting DOS, TIME 2018-09-27 10:32:39.962381
 [DEBUG] (Thread-25) Exiting SYN, TIME 2018-09-27 10:32:39.963980
 [DEBUG] (Thread-23) Exiting DOS, TIME 2018-09-27 10:32:39.965225
 [DEBUG] (Thread-18) Exiting super, TIME 2018-09-27 10:32:39.990700
 [DEBUG] (Thread-22) Starting Super, TIME 2018-09-27 10:33:39.326135
 [DEBUG] (Thread-28) Starting Error, TIME 2018-09-27 10:33:39.944552
 [DEBUG] (Thread-29) Starting SYN, TIME 2018-09-27 10:33:39.944704
 [DEBUG] (Thread-28) Exiting Error, TIME 2018-09-27 10:33:39.944916
 [DEBUG] (Thread-27) Starting DOS, TIME 2018-09-27 10:33:39.945042
 [DEBUG] (Thread-29) Exiting SYN, TIME 2018-09-27 10:33:39.945114
 [DEBUG] (Thread-27) Exiting DOS, TIME 2018-09-27 10:33:39.945422
 [DEBUG] (Thread-22) Exiting super, TIME 2018-09-27 10:33:39.947887
 [DEBUG] (Thread-26) Starting Super, TIME 2018-09-27 10:34:39.327037
 [DEBUG] (Thread-32) Starting Error, TIME 2018-09-27 10:34:39.954768
 [DEBUG] (Thread-32) Exiting Error, TIME 2018-09-27 10:34:39.955025
 [DEBUG] (Thread-33) Starting SYN, TIME 2018-09-27 10:34:39.955101
 [DEBUG] (Thread-31) Starting DOS, TIME 2018-09-27 10:34:39.955238
 [DEBUG] (Thread-33) Exiting SYN, TIME 2018-09-27 10:34:39.955293
 [DEBUG] (Thread-31) Exiting DOS, TIME 2018-09-27 10:34:39.955465
 [DEBUG] (Thread-26) Exiting super, TIME 2018-09-27 10:34:39.957453
 [DEBUG] (Thread-30) Starting Super, TIME 2018-09-27 10:35:39.327245
 [DEBUG] (Thread-36) Starting Error, TIME 2018-09-27 10:35:39.940177
 [DEBUG] (Thread-37) Starting SYN, TIME 2018-09-27 10:35:39.941024
 [DEBUG] (Thread-36) Exiting Error, TIME 2018-09-27 10:35:39.942274
 [DEBUG] (Thread-35) Starting DOS, TIME 2018-09-27 10:35:39.943191
 [DEBUG] (Thread-37) Exiting SYN, TIME 2018-09-27 10:35:39.943761
 [DEBUG] (Thread-35) Exiting DOS, TIME 2018-09-27 10:35:39.944812
 [DEBUG] (Thread-30) Exiting super, TIME 2018-09-27 10:35:39.970610
 [DEBUG] (Thread-34) Starting Super, TIME 2018-09-27 10:36:39.328088
 [DEBUG] (Thread-40) Starting Error, TIME 2018-09-27 10:36:39.963510
 [DEBUG] (Thread-40) Exiting Error, TIME 2018-09-27 10:36:39.964763
 [DEBUG] (Thread-41) Starting SYN, TIME 2018-09-27 10:36:39.965206
 [DEBUG] (Thread-39) Starting DOS, TIME 2018-09-27 10:36:39.966226
 [DEBUG] (Thread-41) Exiting SYN, TIME 2018-09-27 10:36:39.966737
 [DEBUG] (Thread-39) Exiting DOS, TIME 2018-09-27 10:36:39.967710
 [DEBUG] (Thread-34) Exiting super, TIME 2018-09-27 10:36:39.986546
