@relation class
@attribute h_s_1_dst_bytes real
@attribute h_s_1_dst_flow real
@attribute h_s_1_dst_pkt real
@attribute h_s_1_src_bytes real
@attribute h_s_1_src_flow real
@attribute h_s_1_src_pkt real
@attribute hmi_dst_bytes real
@attribute hmi_dst_flow real
@attribute hmi_dst_pkt real
@attribute hmi_src_bytes real
@attribute hmi_src_flow real
@attribute hmi_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_2_s_rx_bytes real
@attribute port_2_s_rx_crc_err real
@attribute port_2_s_rx_drop real
@attribute port_2_s_rx_error real
@attribute port_2_s_rx_frame_err real
@attribute port_2_s_rx_over_err real
@attribute port_2_s_rx_pkt real
@attribute port_2_s_tx_bytes real
@attribute port_2_s_tx_drop real
@attribute port_2_s_tx_error real
@attribute port_2_s_tx_pkt real
@attribute port_3_s_rx_bytes real
@attribute port_3_s_rx_crc_err real
@attribute port_3_s_rx_drop real
@attribute port_3_s_rx_error real
@attribute port_3_s_rx_frame_err real
@attribute port_3_s_rx_over_err real
@attribute port_3_s_rx_pkt real
@attribute port_3_s_tx_bytes real
@attribute port_3_s_tx_drop real
@attribute port_3_s_tx_error real
@attribute port_3_s_tx_pkt real
@attribute port_h_s_1_rx_bytes real
@attribute port_h_s_1_rx_crc_err real
@attribute port_h_s_1_rx_drop real
@attribute port_h_s_1_rx_error real
@attribute port_h_s_1_rx_frame_err real
@attribute port_h_s_1_rx_over_err real
@attribute port_h_s_1_rx_pkt real
@attribute port_h_s_1_tx_bytes real
@attribute port_h_s_1_tx_drop real
@attribute port_h_s_1_tx_error real
@attribute port_h_s_1_tx_pkt real
@attribute port_hmi_rx_bytes real
@attribute port_hmi_rx_crc_err real
@attribute port_hmi_rx_drop real
@attribute port_hmi_rx_error real
@attribute port_hmi_rx_frame_err real
@attribute port_hmi_rx_over_err real
@attribute port_hmi_rx_pkt real
@attribute port_hmi_tx_bytes real
@attribute port_hmi_tx_drop real
@attribute port_hmi_tx_error real
@attribute port_hmi_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0,1}
@data
734,5,12,1514,4,1,50338,9,577,70878,18,979,31248,0,0,0,0,0,377,152871,0,0,658,74068,0,0,0,0,0,335,52937,0,0,617,87786,0,0,0,0,0,374,113305,0,0,661,37669,0,0,0,0,0,32,79661,0,0,380,75354,0,0,0,0,0,1047,150291,0,0,974,1,0,11,1,4,6,0,"0"
0,0,0,0,0,0,59778,3,708,85749,0,1188,130984,0,0,0,0,0,412,105884,0,0,620,68601,0,0,0,0,0,397,157851,0,0,611,68870,0,0,0,0,0,370,128712,0,0,576,64343,0,0,0,0,0,38,80258,0,0,212,88330,0,0,0,0,0,1231,182346,0,0,940,1,0,4,1,1,3,0,"0"
1375,5,23,37454,4,19,59796,0,709,85742,4,1186,31298,0,0,0,0,0,327,75963,0,0,536,62455,0,0,0,0,0,364,124147,0,0,562,28916,0,0,0,0,0,317,74790,0,0,529,112739,0,0,0,0,0,55,18619,0,0,173,86819,0,0,0,0,0,1203,77945,0,0,874,0,0,7,1,1,0,0,"0"
0,0,0,0,0,0,85287,3,720,87684,1,1215,89100,0,0,0,0,0,456,266754,0,0,654,66793,0,0,0,0,0,359,155448,0,0,624,241131,0,0,0,0,0,457,84332,0,0,640,41277,0,0,0,0,0,29,88951,0,0,214,89106,0,0,0,0,0,1241,178354,0,0,947,1,0,4,2,1,3,0,"0"
0,0,0,0,0,0,33651,0,688,83347,0,1152,170596,0,0,0,0,0,449,135305,0,0,653,79470,0,0,0,0,0,408,198051,0,0,659,67893,0,0,0,0,0,384,200032,0,0,612,53790,0,0,0,0,0,27,164309,0,0,273,87652,0,0,0,0,0,1221,262861,0,0,995,0,0,6,1,1,0,0,"0"
0,0,0,0,0,0,59259,0,697,86925,0,1202,43090,0,0,0,0,0,330,138356,0,0,575,106499,0,0,0,0,0,393,96614,0,0,569,47395,0,0,0,0,0,354,115391,0,0,533,112926,0,0,0,0,0,53,59748,0,0,245,87606,0,0,0,0,0,1219,153485,0,0,926,0,0,9,0,1,0,0,"0"
0,0,0,0,0,0,77756,2,720,86265,5,1196,113261,0,0,0,0,0,473,228713,0,0,656,62507,0,0,0,0,0,364,112848,0,0,573,162648,0,0,0,0,0,413,122648,0,0,595,136072,0,0,0,0,0,68,47287,0,0,217,89847,0,0,0,0,0,1255,179940,0,0,923,0,0,6,1,1,0,0,"0"
42,1,1,42,1,1,40459,0,679,85002,0,1175,71002,0,0,0,0,0,355,143837,0,0,619,47267,0,0,0,0,0,398,204600,0,0,611,157674,0,0,0,0,0,396,97784,0,0,594,69071,0,0,0,0,0,39,118114,0,0,242,87654,0,0,0,0,0,1221,217161,0,0,968,0,0,7,1,1,0,0,"0"
0,0,0,0,0,0,59493,2,705,86112,0,1190,187416,0,0,0,0,0,480,168692,0,0,665,63618,0,0,0,0,0,379,172678,0,0,585,62421,0,0,0,0,0,359,100842,0,0,542,141532,0,0,0,0,0,59,61114,0,0,270,91510,0,0,0,0,0,1266,206033,0,0,943,1,0,5,1,1,3,0,"0"
42,1,1,42,1,1,58686,0,692,65219,0,928,194571,0,0,0,0,0,437,114434,0,0,620,80670,0,0,0,0,0,350,131261,0,0,585,62357,0,0,0,0,0,361,154324,0,0,559,54684,0,0,0,0,0,41,90033,0,0,223,91729,0,0,0,0,0,1270,254646,0,0,977,0,0,5,2,1,0,0,"0"
