@relation class
@attribute h_s_1_dst_bytes real
@attribute h_s_1_dst_flow real
@attribute h_s_1_dst_pkt real
@attribute h_s_1_src_bytes real
@attribute h_s_1_src_flow real
@attribute h_s_1_src_pkt real
@attribute hmi_dst_bytes real
@attribute hmi_dst_flow real
@attribute hmi_dst_pkt real
@attribute hmi_src_bytes real
@attribute hmi_src_flow real
@attribute hmi_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_2_s_rx_bytes real
@attribute port_2_s_rx_crc_err real
@attribute port_2_s_rx_drop real
@attribute port_2_s_rx_error real
@attribute port_2_s_rx_frame_err real
@attribute port_2_s_rx_over_err real
@attribute port_2_s_rx_pkt real
@attribute port_2_s_tx_bytes real
@attribute port_2_s_tx_drop real
@attribute port_2_s_tx_error real
@attribute port_2_s_tx_pkt real
@attribute port_3_s_rx_bytes real
@attribute port_3_s_rx_crc_err real
@attribute port_3_s_rx_drop real
@attribute port_3_s_rx_error real
@attribute port_3_s_rx_frame_err real
@attribute port_3_s_rx_over_err real
@attribute port_3_s_rx_pkt real
@attribute port_3_s_tx_bytes real
@attribute port_3_s_tx_drop real
@attribute port_3_s_tx_error real
@attribute port_3_s_tx_pkt real
@attribute port_h_s_1_rx_bytes real
@attribute port_h_s_1_rx_crc_err real
@attribute port_h_s_1_rx_drop real
@attribute port_h_s_1_rx_error real
@attribute port_h_s_1_rx_frame_err real
@attribute port_h_s_1_rx_over_err real
@attribute port_h_s_1_rx_pkt real
@attribute port_h_s_1_tx_bytes real
@attribute port_h_s_1_tx_drop real
@attribute port_h_s_1_tx_error real
@attribute port_h_s_1_tx_pkt real
@attribute port_hmi_rx_bytes real
@attribute port_hmi_rx_crc_err real
@attribute port_hmi_rx_drop real
@attribute port_hmi_rx_error real
@attribute port_hmi_rx_frame_err real
@attribute port_hmi_rx_over_err real
@attribute port_hmi_rx_pkt real
@attribute port_hmi_tx_bytes real
@attribute port_hmi_tx_drop real
@attribute port_hmi_tx_error real
@attribute port_hmi_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0}
@data
866,5,15,20734,3,7,51240,10,589,72138,18,997,41087,0,0,0,0,0,346,84280,0,0,621,46349,0,0,0,0,0,327,59418,0,0,602,45844,0,0,0,0,0,345,95910,0,0,620,83766,0,0,0,0,0,39,40789,0,0,364,77101,0,0,0,0,0,1071,136046,0,0,956,0,0,10,0,4,0,0,"0"
0,0,0,0,0,0,60105,2,712,74199,0,1041,200242,0,0,0,0,0,450,131070,0,0,681,87737,0,0,0,0,0,479,281330,0,0,677,144394,0,0,0,0,0,468,213132,0,0,675,146010,0,0,0,0,0,78,67851,0,0,257,87873,0,0,0,0,0,1225,160358,0,0,934,0,0,2,0,1,0,0,"0"
164,3,2,0,4,0,58707,0,695,86040,0,1190,121386,0,0,0,0,0,419,145550,0,0,643,99478,0,0,0,0,0,422,164731,0,0,627,146176,0,0,0,0,0,423,182592,0,0,640,21285,0,0,0,0,0,16,80360,0,0,185,85966,0,0,0,0,0,1190,141855,0,0,921,0,0,1,0,1,0,0,"0"
0,0,0,0,0,0,59469,0,701,86124,0,1192,55653,0,0,0,0,0,351,99771,0,0,576,84145,0,0,0,0,0,383,104556,0,0,599,70767,0,0,0,0,0,396,144197,0,0,607,138475,0,0,0,0,0,74,16104,0,0,236,88319,0,0,0,0,0,1230,110525,0,0,931,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59718,0,709,86544,0,1197,44518,0,0,0,0,0,352,157528,0,0,577,213378,0,0,0,0,0,416,121505,0,0,598,130136,0,0,0,0,0,438,224135,0,0,607,79052,0,0,0,0,0,36,52334,0,0,187,88298,0,0,0,0,0,1228,147260,0,0,896,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59256,0,698,85818,0,1188,126480,0,0,0,0,0,437,153212,0,0,665,163845,0,0,0,0,0,450,150258,0,0,707,51174,0,0,0,0,0,420,216739,0,0,626,130822,0,0,0,0,0,69,71266,0,0,277,87848,0,0,0,0,0,1223,171435,0,0,976,0,0,2,0,1,0,0,"0"
42,2,1,42,2,1,59477,1,707,85281,1,1180,71065,0,0,0,0,0,398,143531,0,0,617,88550,0,0,0,0,0,387,146652,0,0,583,96792,0,0,0,0,0,404,128415,0,0,576,160390,0,0,0,0,0,78,41875,0,0,252,88553,0,0,0,0,0,1234,151338,0,0,921,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59347,0,698,86787,0,1201,126491,0,0,0,0,0,362,75555,0,0,598,48870,0,0,0,0,0,376,141839,0,0,581,100006,0,0,0,0,0,382,114042,0,0,557,76712,0,0,0,0,0,41,27145,0,0,160,89561,0,0,0,0,0,1248,159198,0,0,903,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,79304,4,721,42201,4,637,126492,0,0,0,0,0,417,123663,0,0,650,136097,0,0,0,0,0,405,126643,0,0,641,107179,0,0,0,0,0,468,243993,0,0,672,89849,0,0,0,0,0,40,36164,0,0,244,88283,0,0,0,0,0,1228,118222,0,0,948,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,60812,0,700,86328,0,1196,50412,0,0,0,0,0,426,247936,0,0,650,131497,0,0,0,0,0,402,139864,0,0,659,167915,0,0,0,0,0,407,88384,0,0,617,17864,0,0,0,0,0,8,107877,0,0,230,88179,0,0,0,0,0,1229,194255,0,0,988,0,0,2,0,1,0,0,"0"
264,4,4,0,0,0,53316,3,700,71383,0,1004,100031,0,0,0,0,0,373,112415,0,0,616,134635,0,0,0,0,0,456,198417,0,0,648,113630,0,0,0,0,0,391,122392,0,0,590,17996,0,0,0,0,0,10,62367,0,0,189,87969,0,0,0,0,0,1222,142619,0,0,922,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,42948,0,676,84625,0,1170,104947,0,0,0,0,0,431,203255,0,0,657,173898,0,0,0,0,0,455,154375,0,0,640,67535,0,0,0,0,0,352,134409,0,0,585,54866,0,0,0,0,0,35,89497,0,0,255,86046,0,0,0,0,0,1195,165441,0,0,942,0,0,1,0,1,0,0,"0"
606,5,11,17838,2,7,60170,3,711,86362,0,1195,129809,0,0,0,0,0,467,186147,0,0,654,46053,0,0,0,0,0,381,157228,0,0,628,96169,0,0,0,0,0,371,110588,0,0,597,136546,0,0,0,0,0,70,45780,0,0,230,87924,0,0,0,0,0,1222,124518,0,0,925,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59321,0,704,69861,0,985,26459,0,0,0,0,0,344,150073,0,0,554,197969,0,0,0,0,0,416,60364,0,0,610,25533,0,0,0,0,0,331,135988,0,0,538,60266,0,0,0,0,0,35,34596,0,0,164,87677,0,0,0,0,0,1220,115875,0,0,891,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59379,1,700,86313,0,1195,297293,0,0,0,0,0,507,156663,0,0,766,76409,0,0,0,0,0,549,437886,0,0,839,207187,0,0,0,0,0,499,216038,0,0,721,77626,0,0,0,0,0,37,170968,0,0,320,87901,0,0,0,0,0,1224,274254,0,0,1068,0,0,2,0,1,0,0,"0"
1261,10,21,17838,5,7,59746,1,709,85709,1,1185,145778,0,0,0,0,0,467,177651,0,0,671,27591,0,0,0,0,0,365,208934,0,0,665,145974,0,0,0,0,0,417,113547,0,0,621,82376,0,0,0,0,0,37,98259,0,0,282,88125,0,0,0,0,0,1223,178909,0,0,993,0,0,2,0,1,0,0,"0"
0,0,0,5858,0,1,59416,0,702,86770,0,1202,210199,0,0,0,0,0,445,126427,0,0,659,47333,0,0,0,0,0,407,260459,0,0,617,86645,0,0,0,0,0,386,122180,0,0,566,97322,0,0,0,0,0,44,68035,0,0,212,88040,0,0,0,0,0,1227,145530,0,0,893,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59630,0,706,56882,0,820,117761,0,0,0,0,0,413,115965,0,0,586,52187,0,0,0,0,0,360,126967,0,0,582,80149,0,0,0,0,0,366,136504,0,0,596,45417,0,0,0,0,0,31,79967,0,0,190,87590,0,0,0,0,0,1216,159050,0,0,927,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,58932,0,695,86323,0,1196,62279,0,0,0,0,0,358,166774,0,0,597,49986,0,0,0,0,0,356,175272,0,0,584,167632,0,0,0,0,0,442,142508,0,0,626,110865,0,0,0,0,0,40,118660,0,0,255,88200,0,0,0,0,0,1230,221941,0,0,956,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59734,3,708,86043,0,1189,68055,0,0,0,0,0,383,125226,0,0,597,84090,0,0,0,0,0,385,122486,0,0,582,98307,0,0,0,0,0,377,108713,0,0,565,71652,0,0,0,0,0,39,36536,0,0,195,88170,0,0,0,0,0,1226,117728,0,0,891,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59091,0,697,85641,0,1186,74187,0,0,0,0,0,341,112836,0,0,558,71669,0,0,0,0,0,369,119903,0,0,562,80657,0,0,0,0,0,350,86030,0,0,528,35950,0,0,0,0,0,19,68859,0,0,146,87875,0,0,0,0,0,1225,166716,0,0,902,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59187,3,702,85410,0,1181,60927,0,0,0,0,0,339,120615,0,0,548,79014,0,0,0,0,0,349,72861,0,0,525,61209,0,0,0,0,0,343,118420,0,0,535,57436,0,0,0,0,0,36,53739,0,0,166,87314,0,0,0,0,0,1215,133794,0,0,872,0,0,2,0,1,0,0,"0"
